Ad format,Estimated earnings (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks,CTR,CPC (USD)
In-page,549.83,139984,3.93,0.4239,931,0.0067,0.59
Anchor,352.03,23071,15.26,0.928,610,0.0264,0.58
Vignette,143.06,5546,25.8,0.8778,231,0.0417,0.62
Ad intent chip,8.96,499,17.96,0.9058,79,0.1583,0.11
In-article,14.09,5469,2.58,0.3041,21,0.0038,0.67
Ad intent link,1.88,58,32.45,0.9474,3,0.0517,0.63
Ad intent anchor,0.42,27,15.38,0.9259,3,0.1111,0.14
Unfilled fallback term,0.05,15,3.36,0.6667,1,0.0667,0.05
Side rail,1.94,1871,1.04,0.8552,0,0,
